parameter,Model_DEC,Model_PLA,Model_ForeignInvestors,Model_PatientHH,Model_Covenants
N_GL,50,50,50,50,50
Nz,21,21,21,21,21
Nk,21,21,21,21,21
Nb,31,31,31,31,31
klow,1.5,1.5,1.5,1.5,1.5
khigh,15,15,25,25,15
blow,0,0,0,0,0
bhigh,10,10,10,10,10
beta,0.95,0.95,0.95,0.95,0.95
d0,-0.66088,-0.66088,-0.66088,-0.66088,-0.66088
d1,0.85,0.85,0.85,0.85,0.85
phi,25,25,25,25,25
cnt_max,300,300,300,300,300
WithFR,0,0,0,0,0
FR,0.3,0.3,0.3,0.3,0.3
chi,0,0,0,0,0
theta,0.0625,0.0625,0.0625,0.0625,0.0625
Covenants,0,0,0,0,1
Decentralized,1,0,1,1,1
ForeignInvestors,0,0,1,0,0
Strict,1,1,1,1,1
PatientHH,0,0,0,1,0
gamma,0.05,0.05,0.05,0.05,0.05
OnlyBudgetBalance,0,0,0,0,0
